seed,family_size,arm,accepted,true_accepts,false_accepts,recall,empirical_fdr
85,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
85,100,Random-25,2,1,1,0.3333333333333333,0.5
85,100,VeraDM-prior,3,3,0,1.0,0.0
86,100,Exhaustive-Expanded,4,3,1,1.0,0.25
86,100,Random-25,2,2,0,0.6666666666666666,0.0
86,100,VeraDM-prior,4,3,1,1.0,0.25
87,100,Exhaustive-Expanded,3,3,0,1.0,0.0
87,100,Random-25,1,1,0,0.3333333333333333,0.0
87,100,VeraDM-prior,4,3,1,1.0,0.25
88,100,Exhaustive-Expanded,3,3,0,1.0,0.0
88,100,Random-25,1,1,0,0.3333333333333333,0.0
88,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
89,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
89,100,Random-25,1,1,0,0.3333333333333333,0.0
89,100,VeraDM-prior,4,3,1,1.0,0.25
90,100,Exhaustive-Expanded,5,3,2,1.0,0.4
90,100,Random-25,0,0,0,0.0,0.0
90,100,VeraDM-prior,3,3,0,1.0,0.0
91,100,Exhaustive-Expanded,3,3,0,1.0,0.0
91,100,Random-25,2,2,0,0.6666666666666666,0.0
91,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
92,100,Exhaustive-Expanded,3,3,0,1.0,0.0
92,100,Random-25,0,0,0,0.0,0.0
92,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
93,100,Exhaustive-Expanded,3,3,0,1.0,0.0
93,100,Random-25,1,1,0,0.3333333333333333,0.0
93,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
94,100,Exhaustive-Expanded,3,3,0,1.0,0.0
94,100,Random-25,3,1,2,0.3333333333333333,0.6666666666666666
94,100,VeraDM-prior,3,3,0,1.0,0.0
95,100,Exhaustive-Expanded,4,3,1,1.0,0.25
95,100,Random-25,0,0,0,0.0,0.0
95,100,VeraDM-prior,3,3,0,1.0,0.0
96,100,Exhaustive-Expanded,3,3,0,1.0,0.0
96,100,Random-25,1,1,0,0.3333333333333333,0.0
96,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
97,100,Exhaustive-Expanded,3,3,0,1.0,0.0
97,100,Random-25,1,1,0,0.3333333333333333,0.0
97,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
98,100,Exhaustive-Expanded,4,3,1,1.0,0.25
98,100,Random-25,0,0,0,0.0,0.0
98,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
99,100,Exhaustive-Expanded,3,3,0,1.0,0.0
99,100,Random-25,0,0,0,0.0,0.0
99,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
100,100,Exhaustive-Expanded,3,3,0,1.0,0.0
100,100,Random-25,0,0,0,0.0,0.0
100,100,VeraDM-prior,4,3,1,1.0,0.25
101,100,Exhaustive-Expanded,4,3,1,1.0,0.25
101,100,Random-25,2,1,1,0.3333333333333333,0.5
101,100,VeraDM-prior,4,3,1,1.0,0.25
102,100,Exhaustive-Expanded,3,3,0,1.0,0.0
102,100,Random-25,1,1,0,0.3333333333333333,0.0
102,100,VeraDM-prior,3,3,0,1.0,0.0
103,100,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
103,100,Random-25,1,1,0,0.3333333333333333,0.0
103,100,VeraDM-prior,3,3,0,1.0,0.0
104,100,Exhaustive-Expanded,4,3,1,1.0,0.25
104,100,Random-25,0,0,0,0.0,0.0
104,100,VeraDM-prior,3,3,0,1.0,0.0
105,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
105,100,Random-25,1,1,0,0.3333333333333333,0.0
105,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
106,100,Exhaustive-Expanded,3,3,0,1.0,0.0
106,100,Random-25,0,0,0,0.0,0.0
106,100,VeraDM-prior,4,3,1,1.0,0.25
107,100,Exhaustive-Expanded,3,3,0,1.0,0.0
107,100,Random-25,1,1,0,0.3333333333333333,0.0
107,100,VeraDM-prior,3,3,0,1.0,0.0
108,100,Exhaustive-Expanded,3,3,0,1.0,0.0
108,100,Random-25,0,0,0,0.0,0.0
108,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
109,100,Exhaustive-Expanded,3,3,0,1.0,0.0
109,100,Random-25,0,0,0,0.0,0.0
109,100,VeraDM-prior,3,3,0,1.0,0.0
110,100,Exhaustive-Expanded,3,3,0,1.0,0.0
110,100,Random-25,0,0,0,0.0,0.0
110,100,VeraDM-prior,3,3,0,1.0,0.0
111,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
111,100,Random-25,1,1,0,0.3333333333333333,0.0
111,100,VeraDM-prior,3,3,0,1.0,0.0
112,100,Exhaustive-Expanded,4,3,1,1.0,0.25
112,100,Random-25,0,0,0,0.0,0.0
112,100,VeraDM-prior,3,3,0,1.0,0.0
113,100,Exhaustive-Expanded,3,3,0,1.0,0.0
113,100,Random-25,0,0,0,0.0,0.0
113,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
114,100,Exhaustive-Expanded,5,3,2,1.0,0.4
114,100,Random-25,1,1,0,0.3333333333333333,0.0
114,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
115,100,Exhaustive-Expanded,4,3,1,1.0,0.25
115,100,Random-25,2,1,1,0.3333333333333333,0.5
115,100,VeraDM-prior,3,3,0,1.0,0.0
116,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
116,100,Random-25,0,0,0,0.0,0.0
116,100,VeraDM-prior,3,3,0,1.0,0.0
117,100,Exhaustive-Expanded,5,3,2,1.0,0.4
117,100,Random-25,1,1,0,0.3333333333333333,0.0
117,100,VeraDM-prior,4,3,1,1.0,0.25
118,100,Exhaustive-Expanded,3,3,0,1.0,0.0
118,100,Random-25,1,1,0,0.3333333333333333,0.0
118,100,VeraDM-prior,3,3,0,1.0,0.0
119,100,Exhaustive-Expanded,3,3,0,1.0,0.0
119,100,Random-25,0,0,0,0.0,0.0
119,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
120,100,Exhaustive-Expanded,3,3,0,1.0,0.0
120,100,Random-25,0,0,0,0.0,0.0
120,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
121,100,Exhaustive-Expanded,3,3,0,1.0,0.0
121,100,Random-25,2,2,0,0.6666666666666666,0.0
121,100,VeraDM-prior,4,3,1,1.0,0.25
122,100,Exhaustive-Expanded,5,3,2,1.0,0.4
122,100,Random-25,1,1,0,0.3333333333333333,0.0
122,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
123,100,Exhaustive-Expanded,5,3,2,1.0,0.4
123,100,Random-25,1,1,0,0.3333333333333333,0.0
123,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
124,100,Exhaustive-Expanded,5,3,2,1.0,0.4
124,100,Random-25,0,0,0,0.0,0.0
124,100,VeraDM-prior,7,3,4,1.0,0.5714285714285714
125,100,Exhaustive-Expanded,3,3,0,1.0,0.0
125,100,Random-25,2,2,0,0.6666666666666666,0.0
125,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
126,100,Exhaustive-Expanded,4,3,1,1.0,0.25
126,100,Random-25,2,2,0,0.6666666666666666,0.0
126,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
127,100,Exhaustive-Expanded,3,3,0,1.0,0.0
127,100,Random-25,1,1,0,0.3333333333333333,0.0
127,100,VeraDM-prior,3,3,0,1.0,0.0
128,100,Exhaustive-Expanded,3,3,0,1.0,0.0
128,100,Random-25,2,2,0,0.6666666666666666,0.0
128,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
129,100,Exhaustive-Expanded,3,3,0,1.0,0.0
