accepted,achieved_fdr,method,null_accepted,null_proposals,seed
0,0.0,BY,0,30,8
4,0.5,RawP,2,30,9
2,0.0,BH,0,30,9
0,0.0,BY,0,30,9
4,0.5,RawP,2,30,10
2,0.0,BH,0,30,10
0,0.0,BY,0,30,10
3,0.3333333333333333,RawP,1,30,11
2,0.0,BH,0,30,11
0,0.0,BY,0,30,11
3,0.3333333333333333,RawP,1,30,12
2,0.0,BH,0,30,12
0,0.0,BY,0,30,12
4,0.5,RawP,2,30,13
2,0.0,BH,0,30,13
0,0.0,BY,0,30,13
3,0.3333333333333333,RawP,1,30,14
2,0.0,BH,0,30,14
0,0.0,BY,0,30,14
3,0.3333333333333333,RawP,1,30,15
2,0.0,BH,0,30,15
0,0.0,BY,0,30,15
5,0.6,RawP,3,30,16
2,0.0,BH,0,30,16
0,0.0,BY,0,30,16
4,0.5,RawP,2,30,17
2,0.0,BH,0,30,17
0,0.0,BY,0,30,17
2,0.0,RawP,0,30,18
2,0.0,BH,0,30,18
0,0.0,BY,0,30,18
3,0.3333333333333333,RawP,1,30,19
2,0.0,BH,0,30,19
0,0.0,BY,0,30,19
3,0.3333333333333333,RawP,1,30,20
2,0.0,BH,0,30,20
0,0.0,BY,0,30,20
4,0.5,RawP,2,30,21
2,0.0,BH,0,30,21
0,0.0,BY,0,30,21
3,0.3333333333333333,RawP,1,30,22
2,0.0,BH,0,30,22
0,0.0,BY,0,30,22
3,0.3333333333333333,RawP,1,30,23
2,0.0,BH,0,30,23
0,0.0,BY,0,30,23
2,0.0,RawP,0,30,24
2,0.0,BH,0,30,24
0,0.0,BY,0,30,24
3,0.3333333333333333,RawP,1,30,25
3,0.3333333333333333,BH,1,30,25
0,0.0,BY,0,30,25
2,0.0,RawP,0,30,26
2,0.0,BH,0,30,26
0,0.0,BY,0,30,26
3,0.3333333333333333,RawP,1,30,27
3,0.3333333333333333,BH,1,30,27
0,0.0,BY,0,30,27
5,0.6,RawP,3,30,28
2,0.0,BH,0,30,28
0,0.0,BY,0,30,28
4,0.5,RawP,2,30,29
2,0.0,BH,0,30,29
0,0.0,BY,0,30,29
3,0.3333333333333333,RawP,1,30,30
2,0.0,BH,0,30,30
0,0.0,BY,0,30,30
6,0.6666666666666666,RawP,4,30,31
2,0.0,BH,0,30,31
0,0.0,BY,0,30,31
4,0.5,RawP,2,30,32
2,0.0,BH,0,30,32
0,0.0,BY,0,30,32
4,0.5,RawP,2,30,33
2,0.0,BH,0,30,33
0,0.0,BY,0,30,33
5,0.6,RawP,3,30,34
2,0.0,BH,0,30,34
0,0.0,BY,0,30,34
4,0.5,RawP,2,30,35
2,0.0,BH,0,30,35
0,0.0,BY,0,30,35
3,0.3333333333333333,RawP,1,30,36
2,0.0,BH,0,30,36
0,0.0,BY,0,30,36
5,0.6,RawP,3,30,37
3,0.3333333333333333,BH,1,30,37
1,1.0,BY,1,30,37
5,0.6,RawP,3,30,38
2,0.0,BH,0,30,38
0,0.0,BY,0,30,38
4,0.5,RawP,2,30,39
2,0.0,BH,0,30,39
0,0.0,BY,0,30,39
4,0.5,RawP,2,30,40
2,0.0,BH,0,30,40
0,0.0,BY,0,30,40
2,0.0,RawP,0,30,41
2,0.0,BH,0,30,41
0,0.0,BY,0,30,41
3,0.3333333333333333,RawP,1,30,42
2,0.0,BH,0,30,42
0,0.0,BY,0,30,42
4,0.5,RawP,2,30,43
2,0.0,BH,0,30,43
0,0.0,BY,0,30,43
3,0.3333333333333333,RawP,1,30,44
2,0.0,BH,0,30,44
0,0.0,BY,0,30,44
2,0.0,RawP,0,30,45
2,0.0,BH,0,30,45
0,0.0,BY,0,30,45
4,0.5,RawP,2,30,46
2,0.0,BH,0,30,46
0,0.0,BY,0,30,46
4,0.5,RawP,2,30,47
2,0.0,BH,0,30,47
0,0.0,BY,0,30,47
2,0.0,RawP,0,30,48
2,0.0,BH,0,30,48
0,0.0,BY,0,30,48
2,0.0,RawP,0,30,49
2,0.0,BH,0,30,49
0,0.0,BY,0,30,49
3,0.3333333333333333,RawP,1,30,50
2,0.0,BH,0,30,50
0,0.0,BY,0,30,50
5,0.6,RawP,3,30,51
4,0.5,BH,2,30,51
0,0.0,BY,0,30,51
6,0.6666666666666666,RawP,4,30,52
2,0.0,BH,0,30,52
0,0.0,BY,0,30,52
6,0.6666666666666666,RawP,4,30,53
5,0.6,BH,3,30,53
3,0.6666666666666666,BY,2,30,53
5,0.6,RawP,3,30,54
3,0.3333333333333333,BH,1,30,54
0,0.0,BY,0,30,54
4,0.5,RawP,2,30,55
3,0.3333333333333333,BH,1,30,55
0,0.0,BY,0,30,55
2,0.0,RawP,0,30,56
2,0.0,BH,0,30,56
0,0.0,BY,0,30,56
4,0.5,RawP,2,30,57
2,0.0,BH,0,30,57
0,0.0,BY,0,30,57
3,0.3333333333333333,RawP,1,30,58
2,0.0,BH,0,30,58
0,0.0,BY,0,30,58
3,0.3333333333333333,RawP,1,30,59
2,0.0,BH,0,30,59
0,0.0,BY,0,30,59
2,0.0,RawP,0,30,60
2,0.0,BH,0,30,60
0,0.0,BY,0,30,60
2,0.0,RawP,0,30,61
2,0.0,BH,0,30,61
0,0.0,BY,0,30,61
3,0.3333333333333333,RawP,1,30,62
2,0.0,BH,0,30,62
0,0.0,BY,0,30,62
4,0.5,RawP,2,30,63
2,0.0,BH,0,30,63
0,0.0,BY,0,30,63
3,0.3333333333333333,RawP,1,30,64
2,0.0,BH,0,30,64
0,0.0,BY,0,30,64
2,0.0,RawP,0,30,65
2,0.0,BH,0,30,65
0,0.0,BY,0,30,65
5,0.6,RawP,3,30,66
2,0.0,BH,0,30,66
0,0.0,BY,0,30,66
2,0.0,RawP,0,30,67
2,0.0,BH,0,30,67
0,0.0,BY,0,30,67
4,0.5,RawP,2,30,68
2,0.0,BH,0,30,68
0,0.0,BY,0,30,68
3,0.3333333333333333,RawP,1,30,69
2,0.0,BH,0,30,69
0,0.0,BY,0,30,69
4,0.5,RawP,2,30,70
2,0.0,BH,0,30,70
0,0.0,BY,0,30,70
3,0.3333333333333333,RawP,1,30,71
3,0.3333333333333333,BH,1,30,71
0,0.0,BY,0,30,71
3,0.3333333333333333,RawP,1,30,72
2,0.0,BH,0,30,72
0,0.0,BY,0,30,72
4,0.5,RawP,2,30,73
2,0.0,BH,0,30,73
0,0.0,BY,0,30,73
3,0.3333333333333333,RawP,1,30,74
2,0.0,BH,0,30,74
0,0.0,BY,0,30,74
5,0.6,RawP,3,30,75
2,0.0,BH,0,30,75
0,0.0,BY,0,30,75
3,0.3333333333333333,RawP,1,30,76
2,0.0,BH,0,30,76
0,0.0,BY,0,30,76
3,0.3333333333333333,RawP,1,30,77
2,0.0,BH,0,30,77
0,0.0,BY,0,30,77
4,0.5,RawP,2,30,78
3,0.3333333333333333,BH,1,30,78
0,0.0,BY,0,30,78
3,0.3333333333333333,RawP,1,30,79
2,0.0,BH,0,30,79
0,0.0,BY,0,30,79
5,0.6,RawP,3,30,80
2,0.0,BH,0,30,80
0,0.0,BY,0,30,80
2,0.0,RawP,0,30,81
2,0.0,BH,0,30,81
